kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
29,17,35,2,2,0,1,100
33,18,64,3,2,1,1,100
19,9,40,3,2,1,1,100
48,40,125,3,1,2,1,100
34,51,80,3,2,2,0,100
4,22,7,2,1,0,0,100
40,18,65,2,2,1,1,100
69,52,171,3,2,1,1,100
38,32,89,3,2,0,1,100
38,34,79,2,2,1,1,100
49,31,131,1,1,0,1,100
43,37,102,2,1,0,1,100
61,69,110,1,1,0,1,100
18,36,34,1,2,0,0,100
46,30,101,2,2,1,1,100
17,14,44,3,2,1,1,100
33,51,75,4,2,0,1,100
39,38,85,2,2,0,0,100
44,39,109,3,2,2,1,100
44,24,107,2,2,0,1,100
51,63,105,4,2,1,0,100
51,73,115,3,2,1,0,100
8,24,18,3,1,1,0,100
31,35,63,2,2,2,1,100
14,20,28,2,2,0,0,100
28,21,60,3,2,1,1,100
37,30,73,0,1,0,1,100
78,62,182,4,2,0,1,100
56,41,118,2,1,1,1,100
49,45,93,3,2,1,0,100
39,47,63,2,1,0,0,100
23,13,60,2,2,1,1,100
21,38,40,3,2,1,0,100
13,33,19,4,2,1,0,100
29,14,30,3,2,2,1,100
9,16,17,2,2,0,0,100
40,50,120,3,1,1,1,100
41,30,116,2,2,2,1,100
47,40,117,3,2,2,1,100
48,48,119,3,1,1,0,100
38,32,98,3,2,2,1,100
46,35,88,3,2,1,1,100
37,43,106,3,2,1,1,100
17,24,49,3,2,3,0,100
48,44,113,2,2,0,1,100
34,43,100,3,1,1,0,100
23,42,45,3,2,0,0,100
61,66,115,1,2,1,0,100
25,44,42,3,2,1,0,100
22,31,59,2,1,0,0,100
29,16,80,1,1,1,1,100
54,43,116,1,2,2,1,100
7,2,18,4,1,1,1,100
34,41,77,4,2,1,0,100
43,30,98,2,1,1,1,100
66,30,149,1,2,0,1,100
22,41,60,4,2,1,0,100
22,12,22,2,2,0,1,100
11,18,9,1,2,1,0,100
40,34,82,3,2,2,1,100
5,3,13,2,1,1,1,100
54,60,116,3,2,2,0,100
29,38,64,2,2,1,0,100
58,48,134,2,2,1,1,100
38,22,105,3,1,1,1,100
61,45,161,3,2,1,1,100
46,36,90,4,2,1,1,100
35,22,92,4,2,2,1,100
23,39,46,3,2,1,0,100
49,35,142,3,2,0,1,100
29,40,76,4,2,1,0,100
51,45,108,2,1,0,0,100
26,35,50,2,2,0,0,100
42,38,89,3,2,0,1,100
44,55,117,2,2,1,0,100
58,48,134,3,2,1,0,100
37,45,86,3,2,1,0,100
15,23,22,3,1,0,0,100
25,32,46,3,2,1,0,100
2,16,1,2,2,1,0,100
65,52,151,3,2,1,1,100
37,40,90,3,2,1,0,100
13,35,17,4,2,1,0,100
60,41,128,0,1,0,1,100
37,45,84,3,2,2,0,100
35,52,58,2,1,0,0,100
14,18,27,4,2,1,0,100
33,33,66,2,2,1,1,100
17,26,47,3,2,1,0,100
52,33,146,2,2,1,1,100
21,35,49,2,1,0,0,100
24,29,33,0,1,0,0,100
38,46,57,2,1,0,0,100
54,40,118,2,2,1,1,100
10,21,13,2,2,1,0,100
16,30,21,3,2,2,0,100
35,40,75,4,2,1,0,100
36,33,62,3,2,2,0,100
16,32,21,3,1,1,0,100
