,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore
92,200,Fail,True,False,False,False,False,False,5,0,1,0,0,0,0
93,200,Win,True,True,False,False,True,True,3,0,0,2,0,1,0
94,200,Win,False,False,True,False,True,False,8,1,0,2,0,0,0
95,200,Fail,False,False,False,True,True,False,3,0,1,3,0,0,0
96,200,Win,True,False,False,False,True,False,10,3,2,4,0,1,0
97,200,Fail,False,True,False,False,False,False,4,0,0,1,0,1,0
98,200,Fail,False,False,False,False,False,False,0,0,0,1,0,0,0
99,200,Win,False,True,False,False,True,True,4,0,0,2,0,1,0
100,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
101,200,Win,True,True,True,True,True,True,9,1,2,4,0,1,0
102,200,Fail,False,True,False,False,False,True,3,0,0,0,0,1,0
103,200,Win,False,False,True,True,False,False,8,1,1,3,0,0,0
104,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
105,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
106,200,Win,True,False,True,False,False,True,3,1,0,0,0,2,0
107,200,Fail,True,False,True,False,False,True,3,1,0,0,0,2,0
108,200,Win,False,True,False,False,False,True,2,0,0,0,0,1,0
109,200,Win,True,True,True,False,False,False,3,1,0,0,0,0,0
110,200,Fail,False,False,False,False,True,False,0,0,0,2,0,0,0
111,200,Win,True,True,True,True,True,False,9,2,1,3,0,0,0
112,200,Fail,False,False,False,False,False,True,0,0,0,0,0,1,0
113,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
114,200,Win,False,True,True,True,True,False,10,2,1,3,0,0,0
115,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
116,200,Fail,False,False,False,False,True,False,2,0,0,2,0,1,0
117,200,Fail,False,False,False,False,False,False,5,0,0,3,0,1,0
118,200,Win,True,False,False,False,True,False,5,0,0,2,0,1,0
119,200,Win,True,False,False,True,True,False,4,0,1,2,0,0,0
120,200,Fail,True,True,False,True,False,True,6,0,2,3,0,1,0
121,200,Fail,True,True,False,False,True,False,3,0,0,2,0,0,0
122,200,Win,True,True,False,False,False,True,1,0,0,0,0,1,0
123,200,Win,False,True,True,True,True,True,11,4,2,4,0,2,0
124,200,Fail,True,True,False,False,False,True,2,0,0,0,0,2,0
125,200,Win,True,False,True,True,True,False,11,3,1,4,0,1,0
126,200,Win,True,True,True,True,True,True,7,1,1,2,0,1,0
127,200,Win,False,True,True,True,False,True,11,4,2,4,0,1,0
128,200,Win,False,False,True,False,True,False,8,1,0,2,0,0,0
129,200,Win,True,False,False,True,False,False,8,1,3,2,0,0,0
130,200,Fail,True,False,False,False,True,True,3,0,0,1,0,2,0
131,200,Fail,False,False,False,True,True,False,3,0,1,3,0,0,0
132,200,Win,True,True,True,True,False,True,10,2,1,1,0,2,0
133,200,Win,False,False,True,False,True,False,7,1,0,2,0,1,0
134,200,Win,True,True,False,False,True,True,4,0,0,2,0,1,0
135,200,Win,True,True,True,True,True,True,10,1,2,3,0,1,0
136,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
137,200,Win,False,True,True,True,True,True,11,6,3,4,0,2,0
138,200,Win,True,True,True,True,True,False,10,2,1,4,0,1,0
139,200,Win,False,True,True,True,True,True,9,1,1,2,0,2,0
140,200,Win,False,False,True,True,True,True,9,3,3,1,0,1,0
141,200,Fail,False,False,False,False,True,False,1,0,0,2,0,0,0
142,200,Fail,True,False,False,False,True,True,2,0,0,1,0,1,0
143,200,Fail,True,False,False,False,True,False,3,0,0,2,0,1,0
144,200,Win,True,True,True,False,False,True,7,1,0,0,0,1,0
145,200,Fail,False,False,False,False,False,False,1,0,0,3,0,0,0
146,200,Fail,False,False,False,False,True,False,4,0,0,1,0,1,0
147,200,Win,True,True,True,True,True,True,11,3,1,4,0,2,0
148,200,Fail,False,False,False,False,False,False,1,0,0,1,0,0,0
149,200,Win,True,True,True,True,False,True,9,1,1,2,0,2,0
150,200,Win,False,True,True,False,True,True,11,2,0,3,0,2,0
151,200,Win,False,True,True,False,True,False,6,1,0,2,0,0,0
152,200,Fail,True,False,False,False,False,False,0,0,0,0,0,1,0
153,200,Win,True,True,False,False,True,False,4,0,0,2,0,0,0
154,200,Win,False,True,False,False,True,True,5,0,0,1,0,1,0
155,200,Win,True,True,False,False,True,False,5,0,0,2,0,0,0
156,200,Win,True,True,True,False,False,True,8,1,0,3,0,2,0
157,200,Win,False,True,True,False,True,True,6,1,0,2,0,2,0
158,200,Win,True,True,False,False,True,False,3,0,0,2,0,1,0
159,200,Fail,False,True,False,False,True,False,2,0,0,2,0,0,0
160,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
161,200,Win,False,True,True,True,True,True,5,1,1,4,0,2,0
162,200,Fail,False,False,False,False,False,True,0,0,0,0,0,1,0
