kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
6,6,15,1,1,2,1,200
10,4,15,2,2,0,1,200
10,4,13,0,0,0,1,200
5,3,15,2,1,0,1,200
2,5,11,2,1,1,1,200
8,2,8,1,0,0,1,200
4,7,3,2,2,0,1,200
4,5,17,1,0,0,1,200
12,3,8,1,1,0,1,200
6,2,9,1,0,0,1,200
4,6,5,0,0,0,0,200
1,0,1,2,1,0,0,200
1,6,4,1,1,0,0,200
7,6,5,3,2,0,0,200
4,6,6,4,1,0,0,200
2,2,9,1,1,1,1,200
1,4,7,2,0,1,1,200
6,4,18,1,0,0,1,200
10,3,9,2,0,1,1,200
10,3,7,1,1,0,1,200
11,2,5,0,1,0,1,200
4,4,7,3,2,0,1,200
0,2,13,2,2,0,1,200
6,1,12,3,1,0,1,200
7,2,6,1,0,0,1,200
2,1,1,0,0,1,0,200
0,4,2,0,0,0,0,200
0,2,2,0,0,0,0,200
1,4,1,1,0,1,0,200
4,3,2,2,1,0,0,200
0,3,9,1,1,0,1,200
4,5,1,3,1,1,1,200
6,2,2,3,0,1,1,200
5,1,3,2,0,1,1,200
3,1,4,0,0,0,1,200
1,7,1,2,2,1,0,200
0,4,1,0,1,0,0,200
1,4,1,1,0,0,0,200
2,3,1,0,1,1,0,200
3,4,2,1,0,0,0,200
3,0,3,1,0,0,1,200
1,0,5,2,0,0,1,200
4,0,2,3,1,1,1,200
3,0,7,2,2,1,1,200
8,1,2,1,0,0,1,200
8,7,8,2,0,0,0,200
0,10,13,1,0,0,0,200
5,7,11,0,0,0,0,200
9,10,6,0,0,0,0,200
5,13,6,2,0,1,0,200
5,2,6,4,1,1,0,200
2,7,11,2,1,0,0,200
7,6,6,2,1,0,0,200
7,7,8,0,0,0,0,200
1,10,3,0,2,0,0,200
4,4,3,3,1,1,0,200
6,4,5,2,0,0,0,200
3,10,3,3,2,1,0,200
0,4,6,2,1,1,0,200
2,3,2,1,0,0,0,200
1,11,12,0,0,0,0,200
5,8,9,3,0,1,0,200
7,4,9,2,2,1,0,200
6,7,2,4,0,2,0,200
1,6,0,3,2,1,0,200
2,5,24,2,1,0,1,200
11,4,11,1,2,0,1,200
7,6,8,1,1,0,1,200
9,2,9,1,1,1,1,200
6,1,8,1,0,0,1,200
6,6,7,1,1,0,0,200
4,5,6,2,2,0,0,200
1,5,12,2,2,1,0,200
8,1,5,4,0,1,0,200
2,4,5,3,2,1,0,200
9,6,7,0,0,0,1,200
2,4,16,2,0,0,1,200
11,4,7,0,1,0,1,200
1,7,16,1,0,0,1,200
7,1,10,1,0,1,1,200
8,5,8,0,0,0,1,200
1,1,17,2,0,0,1,200
3,4,9,2,1,0,1,200
8,2,8,1,0,0,1,200
8,7,3,0,0,0,1,200
5,5,3,3,1,0,0,200
4,9,6,1,1,1,0,200
2,4,6,3,0,0,0,200
0,4,7,1,0,0,0,200
1,9,3,1,1,0,0,200
4,0,7,3,0,0,1,200
8,1,4,2,1,0,1,200
0,3,10,0,0,1,1,200
3,1,4,2,1,0,1,200
2,5,4,2,0,0,1,200
3,2,9,3,0,1,1,200
8,2,6,4,1,2,1,200
5,0,10,1,1,0,1,200
2,4,9,1,0,0,1,200
11,3,7,2,1,0,1,200
5,6,7,0,0,0,0,200
5,6,2,4,1,2,0,200
