teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameDuration
100,Fail,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1,1022
100,Win,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,6,1,1,4,0,1876
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,956
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,0,1,0,1621
100,Win,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,1,1,921
100,Fail,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,1,0,1028
100,Fail,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,1,0,1426
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,1368
100,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,2,1630
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,1549
100,Win,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,1,1,4,1,1625
100,Win,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,1,1,2,2,1781
100,Fail,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,3,1,1313
100,Win,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,1,1,932
100,Fail,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0,0,3,2,1608
100,Win,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,199
100,Win,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,0,1,2,2,1479
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1083
100,Win,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,0,0,1,2,1282
100,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9,2,0,2,1,1192
100,Fail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,1,1385
100,Win,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,1,1,5,0,2257
100,Win,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,8,1,1,1,2,1673
100,Win,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,8,1,1,3,2,1642
100,Fail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,991
100,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,2,1386
100,Win,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,2,1,1334
100,Win,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,1,4,2,1914
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,974
100,Fail,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,5,0,1,2,2,1605
100,Win,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,8,1,0,2,2,1961
