assists,champLevel,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,teamId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
7,12,3550,1048,4368,4,0,0,0,0,0,0,0,8724,6650,0,2,8,0,4,1,352,5286,1458,4496,4,0,0,3,100,0,57634,14916,6088,0,14,63665,17091,11923,1343,95,63,1,0,744,716,1338,1,17,2,3,4,1
6,13,16965,2205,7319,6,1,0,0,0,0,0,0,10292,8635,0,2,8,0,4,2,256,143195,23883,7505,111,22,63,4,100,0,5327,379,11040,0,11,152074,25036,19778,9461,49,104,1,0,3552,774,1231,0,17,2,3,1,1
9,9,2124,196,9596,4,0,0,1,0,0,0,0,5475,4825,0,0,1,0,0,1,504,5783,2197,1071,0,0,0,5,100,0,5346,1536,5814,0,27,20902,4149,8665,822,27,46,5,0,9771,416,1779,0,31,5,5,18,1
5,11,0,0,6226,6,1,0,0,0,0,0,0,6863,6725,0,1,4,0,2,2,390,48875,9254,9295,0,0,0,6,200,0,4360,602,7377,0,13,56410,9857,17650,3230,113,181,1,0,3175,0,978,0,16,7,0,10,0
1,11,410,410,1708,0,0,0,0,0,0,0,0,6629,6250,0,0,1,624,0,1,0,3542,0,1753,0,0,0,7,200,0,74833,4439,2770,0,11,78375,4439,4524,367,164,77,1,0,0,0,0,0,18,4,1,8,0
4,8,1962,0,11458,6,0,0,0,0,0,0,0,4569,4000,0,0,1,0,0,1,332,0,0,6299,0,0,0,8,200,0,11445,2304,7939,0,8,22793,4671,14503,0,40,49,0,0,11348,2367,264,0,42,6,9,14,0
5,12,6622,0,14517,6,2,0,0,0,0,0,0,9253,8825,0,2,7,0,2,2,314,25517,417,9628,97,8,80,9,200,0,81349,6210,12791,0,10,121805,9513,22954,6897,33,405,1,0,14938,2885,534,0,15,4,3,4,0
6,11,3394,1527,7609,6,0,0,0,0,0,0,0,7777,7633,0,1,4,0,2,1,489,11781,3313,8828,12,8,0,10,200,0,73865,5926,9198,0,14,90035,9288,18492,3081,144,60,1,0,4388,48,464,0,13,3,1,7,0
4,13,3622,1863,15166,3,1,0,0,0,0,0,1,10230,9875,0,1,3,0,3,2,755,3649,1489,11148,16,4,5,1,100,0,104546,12978,13209,0,20,109470,14897,25045,6881,173,106,1,0,1275,430,688,1,21,1,8,6,0
12,11,85,0,12032,5,0,0,0,0,0,0,0,6851,6850,0,1,3,0,2,1,455,8172,4845,4683,0,0,0,2,100,0,4366,839,8766,0,36,16689,6695,13620,3232,28,87,5,0,4149,1010,170,0,47,6,5,28,0
6,11,14477,234,18525,6,1,0,0,0,0,1,0,8860,8550,0,1,6,0,4,2,637,17801,739,10885,87,5,65,3,100,0,69958,7995,13022,0,14,95599,9042,23983,5709,11,312,1,0,7840,306,76,0,19,5,1,11,0
9,12,3100,467,6212,8,0,0,0,0,0,0,0,8469,8225,0,0,2,754,0,1,254,851,382,6281,4,0,4,4,100,0,88796,13654,7571,0,19,98462,14037,14195,983,172,39,1,0,8815,0,343,0,15,1,5,6,0
7,12,0,0,19212,7,0,0,0,0,0,0,0,7173,6975,0,0,2,0,0,1,599,75951,7839,6000,2,0,2,5,100,0,4273,311,13027,0,25,85498,8381,19711,1051,150,99,2,0,5272,230,683,0,16,1,3,8,0
9,14,3763,1046,20012,2,0,0,0,0,0,0,0,8461,7460,0,1,2,19,2,1,593,83372,9101,3231,19,0,13,6,200,0,22941,2230,12893,0,39,107797,11331,16544,6100,156,375,1,0,1483,0,419,0,18,1,3,8,1
7,10,1113,1113,15678,4,0,0,0,0,0,0,0,6109,5925,0,0,1,0,0,1,411,5045,1576,3785,0,0,0,7,200,0,5761,1588,8229,0,27,20646,3955,12519,678,29,44,5,0,9839,790,504,0,29,7,0,26,1
18,13,4590,2793,14009,4,0,0,0,0,0,0,0,10047,9200,0,1,6,0,5,1,624,81274,23763,5082,16,4,12,8,200,0,11535,2199,15561,0,41,95030,25962,21486,9928,116,193,1,0,2221,0,842,0,14,2,0,9,1
9,14,28828,15,11026,3,1,0,0,0,0,0,0,11649,10125,0,2,10,0,6,2,1011,6057,849,3227,140,27,72,9,200,0,161295,19933,10926,0,14,177435,21677,14322,6719,35,455,1,0,10082,895,168,0,43,2,12,17,1
7,13,7389,6632,4615,3,1,0,1,0,0,0,0,12204,10825,0,3,10,975,4,2,524,9993,2279,930,10,4,2,10,200,0,117623,14592,9068,0,31,129832,17148,10043,1973,186,141,3,0,2216,276,44,4,16,1,3,7,1
2,12,22408,598,8433,5,0,0,0,0,0,0,0,8462,8275,0,1,3,319,3,1,528,25118,2877,7309,125,19,84,1,100,0,101232,10525,12112,0,6,137233,14599,19796,8952,17,189,9,0,10882,1197,374,0,27,4,5,4,0
5,10,1168,685,9729,5,0,0,0,0,0,0,0,5241,4900,0,0,0,0,0,0,521,8470,2931,4166,0,0,0,2,100,0,5472,555,6047,0,21,18913,3487,10529,0,24,85,0,0,4970,0,316,0,46,10,2,31,0
0,12,1157,0,13398,11,0,0,0,0,0,0,0,6708,6508,0,0,1,0,0,1,202,8471,1548,7573,2,0,1,3,100,0,60250,4448,13667,0,5,76226,6501,21420,3989,127,39,1,0,7504,504,180,0,18,1,1,8,0
2,12,10358,3250,8197,4,0,0,0,0,0,0,0,10220,8850,0,1,5,0,3,1,511,16942,5333,4644,18,1,12,4,100,0,107514,12381,9322,0,5,130134,17978,14179,0,175,218,0,0,5678,264,212,2,28,4,4,11,0
2,14,2221,1102,8633,3,0,0,0,0,0,0,0,8757,8300,0,1,2,0,2,1,1130,79178,10041,6629,4,4,0,5,100,0,22633,3417,9241,0,3,102726,14374,16081,5372,196,46,1,0,915,915,210,0,16,4,0,9,0
5,13,15227,4992,5599,2,2,0,0,1,0,0,0,12201,10775,0,2,11,0,9,2,251,12784,4588,2831,11,2,5,6,200,0,103010,9957,7595,0,1,117492,14624,10718,4621,176,21,3,0,1698,78,291,2,25,1,7,7,1
7,14,6732,4206,12770,4,0,0,1,0,1,0,0,9123,8210,1,1,4,0,2,1,370,81381,12786,8978,9,4,4,7,200,0,6135,365,12006,0,9,89212,13151,23063,9677,160,256,7,0,1695,0,2078,0,17,3,2,6,1
13,12,1412,1080,9557,2,0,0,0,0,0,0,0,6454,5625,0,0,0,0,0,0,443,3473,2947,4730,0,0,0,8,200,0,6192,2066,6286,0,21,17744,5416,11136,1411,27,92,4,0,8078,402,120,0,47,9,6,31,1
12,13,17112,2936,21933,1,0,0,0,1,0,0,0,9711,8850,0,2,6,0,4,1,366,49942,2865,5234,100,6,55,9,200,0,45680,5181,14034,0,21,102014,8836,20006,8408,20,288,1,0,6390,788,736,3,41,4,10,5,1
6,15,8581,8581,11493,2,0,0,0,1,0,0,1,12430,8858,0,2,7,0,4,1,858,27315,5403,3225,12,4,8,10,200,0,126030,11171,14745,0,14,157421,16599,19624,5416,217,121,1,0,4076,24,1654,4,18,3,2,7,1
6,9,203,203,4108,1,0,0,0,0,0,0,0,4668,3450,0,1,2,0,2,1,633,7401,3128,1508,0,0,0,1,100,0,4268,1454,4206,0,17,15579,4637,6004,1842,25,124,4,0,3908,54,289,0,34,6,7,19,1
4,12,273,273,3352,1,1,0,0,0,0,0,0,6737,5175,0,1,3,0,2,2,794,3910,338,4325,0,0,0,2,100,0,54753,4633,3402,0,9,59696,5009,7727,1471,128,27,1,0,1033,38,0,1,27,6,6,11,1
3,11,20494,1147,8111,2,1,0,0,0,0,0,1,7591,6375,0,1,4,0,4,2,642,82942,4236,2279,106,9,64,3,100,0,22562,591,13884,0,3,114949,5395,16790,10403,19,312,1,0,9444,567,626,1,16,1,4,2,1
1,12,1716,1716,5822,3,0,0,0,0,0,1,0,7107,5680,0,0,2,0,0,1,217,9120,1545,1094,12,4,8,4,100,0,66092,5079,7314,0,5,75834,6698,8829,95,143,91,1,0,622,74,420,0,10,1,2,6,1
1,11,2966,2966,2120,0,0,0,0,0,0,0,0,7287,5150,0,1,3,722,3,1,0,1403,0,977,0,0,0,5,100,0,79375,5303,4500,0,13,80779,5303,5478,1115,152,40,2,0,0,0,0,0,8,2,1,5,1
1,11,2797,575,4446,1,0,0,0,0,0,0,0,6426,5900,0,1,2,0,2,1,1033,1034,434,2314,8,0,8,6,200,0,75507,5582,4358,0,1,78648,6016,6746,512,151,47,1,0,2106,0,74,0,12,2,2,7,0
2,9,920,920,3684,4,0,0,0,0,0,0,0,5345,4675,0,0,0,0,0,0,387,6167,1809,1536,4,0,4,7,200,0,43130,4574,7593,0,0,49297,6384,9183,692,119,0,2,0,0,0,54,0,10,1,1,5,0
2,8,868,171,2701,2,0,0,0,0,0,0,0,3976,3445,0,0,0,0,0,0,541,3982,1477,1928,0,0,0,8,200,0,3626,330,2194,0,15,13578,1807,4317,111,32,49,3,0,5969,0,195,0,31,7,7,17,0
1,11,340,340,2458,4,0,0,0,0,0,0,0,6414,5750,0,0,1,0,0,1,534,60385,5680,1877,8,0,8,9,200,0,9145,1135,4591,0,7,69531,6815,6702,0,148,131,0,0,0,0,234,0,17,3,2,8,0
2,10,7474,0,5742,3,0,0,1,0,0,0,0,6648,6175,0,1,4,0,3,1,600,4139,0,3328,90,10,58,10,200,0,64838,3329,9341,0,7,77309,4666,12845,6135,8,217,1,0,8331,1336,176,0,24,4,4,9,0
3,10,866,866,7968,5,0,0,0,0,0,0,0,6080,5475,0,1,3,0,2,1,495,44419,11215,644,0,0,0,1,100,0,5665,374,13727,0,43,52804,11590,14545,3560,113,354,1,0,2720,0,174,0,14,3,2,9,0
4,10,160,160,10709,3,0,0,1,0,0,0,0,6480,6000,0,1,3,0,2,1,456,34519,1120,4556,75,3,64,2,100,0,31940,2621,7508,0,9,69049,4199,12264,3331,20,266,1,0,2589,457,200,0,19,6,6,5,0
2,12,778,778,2585,2,0,0,0,0,0,0,0,7683,6400,0,0,3,0,0,1,884,50816,7305,2957,4,0,4,3,100,0,17183,2322,4147,0,13,74768,10522,7152,1042,164,74,1,0,6768,894,48,0,9,1,2,5,0
1,9,2470,0,4114,4,0,0,0,0,0,0,0,6057,5450,0,1,3,0,2,1,475,4699,1876,2385,4,0,4,4,100,0,34690,5371,7065,0,3,41892,7620,9450,1055,96,35,2,0,2502,372,0,0,6,2,1,6,0
7,8,0,0,6358,4,0,0,0,0,0,0,0,3894,3825,0,0,0,0,0,0,396,3219,1761,2571,0,0,0,5,100,0,3253,862,4269,0,16,11117,2824,6917,114,20,35,4,0,4644,200,76,0,19,7,4,8,0
9,9,731,731,3480,3,0,0,0,0,0,0,0,4988,3850,0,0,0,0,0,0,328,10223,4519,2058,4,0,4,6,200,0,3596,726,3434,0,14,16034,5294,5808,1530,26,77,2,0,2214,48,315,0,28,4,8,10,1
1,11,1206,1206,7126,5,1,0,0,0,0,0,0,6723,6200,0,1,4,0,3,3,357,0,0,12421,4,0,4,7,200,0,48436,9749,4563,0,8,48898,9793,17381,5879,109,294,1,1,462,44,396,1,14,4,2,7,1
2,10,5194,4550,4800,2,0,0,0,0,0,1,0,9128,7400,0,2,6,515,3,1,664,1082,426,3008,10,4,5,8,200,0,73237,9009,3823,0,9,76704,9435,7014,472,132,73,1,0,2385,0,182,1,15,2,2,8,1
3,12,35825,3664,6544,1,0,0,0,0,0,0,1,8011,7150,0,2,5,0,3,1,501,3146,363,2423,107,11,57,9,200,0,112412,5507,9975,0,65,126584,6094,12481,8529,19,261,1,0,11024,224,82,2,19,3,2,5,1
4,13,1949,1949,6390,1,0,0,0,0,0,0,0,7043,5925,0,1,3,0,3,1,1031,68601,6447,4782,8,0,8,10,200,0,12244,1505,6416,0,8,82354,8134,12147,4858,149,249,1,0,1508,182,947,0,13,3,3,7,1
3,11,14427,0,6976,2,0,0,0,0,0,0,1,8113,7400,0,3,7,0,3,1,450,5295,619,4789,74,12,47,1,100,0,71983,7567,10229,0,2,84762,8549,15214,9134,20,123,1,0,7482,362,195,1,20,3,3,4,1
9,9,1694,1694,4095,1,0,0,0,0,0,0,0,5189,4075,0,0,0,0,0,0,550,9657,3450,684,0,0,0,2,100,0,5439,988,3594,0,31,19473,4438,4278,309,32,106,3,0,4376,0,0,2,31,6,7,15,1
7,12,3476,666,5193,2,0,0,1,0,0,0,0,6983,6225,0,1,3,0,2,1,420,51738,6918,2477,4,1,0,3,100,0,7690,466,7166,0,7,60284,7384,10384,3237,122,296,1,0,855,0,741,0,18,2,2,6,1
7,10,7730,7588,3852,1,0,0,0,0,0,0,0,8679,6375,0,1,4,750,3,1,774,176,106,2279,0,0,0,4,100,0,86464,8290,3493,0,6,86640,8396,5799,1081,167,12,2,0,0,0,26,1,13,1,3,6,1
1,12,1206,895,4176,1,1,0,0,0,0,0,0,8139,6325,0,1,8,0,7,2,842,59007,10748,5402,0,0,0,5,100,0,19207,4589,4319,0,3,80935,15338,10038,2930,144,55,1,0,2720,0,316,0,13,3,1,8,1
1,10,2111,0,7266,7,0,0,0,0,0,0,0,5235,7620,0,0,1,0,0,1,356,38565,7325,7281,0,0,0,6,200,0,7542,282,9932,0,10,50736,7607,17445,4033,105,202,1,0,4628,0,232,0,13,2,0,7,0
1,9,975,975,3075,4,0,0,0,0,0,0,0,5755,4325,0,0,0,364,0,0,399,2552,0,3389,0,0,0,7,200,0,51031,4991,5019,0,3,53583,4991,8445,1556,129,50,2,0,0,0,36,0,12,1,4,5,0
