,teamId,win,firstBlood,firstBaron,firstDragon,inhibitorKills,baronKills,dragonKills
110,100,Win,TRUE,FALSE,FALSE,0,0,1
111,100,Fail,FALSE,FALSE,FALSE,0,0,0
112,100,Win,TRUE,FALSE,TRUE,0,0,1
113,100,Win,TRUE,FALSE,TRUE,1,0,2
114,100,Fail,TRUE,FALSE,FALSE,0,0,0
115,100,Win,FALSE,FALSE,TRUE,0,0,2
116,100,Win,TRUE,TRUE,FALSE,2,2,3
117,100,Win,TRUE,TRUE,TRUE,0,2,4
118,100,Fail,FALSE,FALSE,FALSE,0,0,0
119,100,Fail,FALSE,FALSE,FALSE,0,0,1
120,100,Win,FALSE,FALSE,TRUE,1,0,2
121,100,Win,FALSE,TRUE,FALSE,3,2,3
122,100,Fail,FALSE,FALSE,TRUE,0,0,2
123,100,Fail,TRUE,FALSE,FALSE,0,0,1
124,100,Win,FALSE,TRUE,TRUE,3,1,4
125,100,Fail,FALSE,FALSE,FALSE,0,0,0
126,100,Fail,FALSE,FALSE,FALSE,0,0,2
127,100,Fail,TRUE,FALSE,TRUE,0,0,3
128,100,Fail,TRUE,TRUE,FALSE,0,1,2
129,100,Fail,FALSE,FALSE,TRUE,2,0,4
130,100,Win,FALSE,TRUE,FALSE,0,1,2
131,100,Win,TRUE,FALSE,FALSE,1,0,1
132,100,Fail,FALSE,FALSE,TRUE,0,0,2
133,100,Fail,TRUE,FALSE,FALSE,0,0,0
134,100,Fail,FALSE,FALSE,FALSE,0,0,0
135,100,Fail,FALSE,FALSE,FALSE,0,0,2
136,100,Win,TRUE,FALSE,TRUE,1,0,3
137,100,Fail,TRUE,FALSE,FALSE,2,1,3
138,100,Fail,FALSE,FALSE,FALSE,0,0,0
139,100,Fail,TRUE,FALSE,FALSE,0,0,1
140,100,Fail,TRUE,FALSE,FALSE,0,0,4
141,100,Win,TRUE,FALSE,FALSE,0,0,1
142,100,Win,FALSE,TRUE,FALSE,1,1,3
143,100,Win,FALSE,TRUE,FALSE,3,2,3
144,100,Fail,FALSE,FALSE,TRUE,0,0,1
145,100,Win,TRUE,TRUE,TRUE,2,1,1
146,100,Win,TRUE,FALSE,FALSE,1,0,3
147,100,Fail,FALSE,FALSE,FALSE,0,1,0
148,100,Win,TRUE,TRUE,TRUE,3,1,3
149,100,Fail,FALSE,FALSE,TRUE,0,0,2
150,100,Fail,TRUE,FALSE,FALSE,0,0,0
151,100,Fail,TRUE,FALSE,FALSE,0,0,0
152,100,Win,FALSE,FALSE,TRUE,2,0,3
153,100,Fail,FALSE,FALSE,FALSE,0,0,0
154,100,Fail,TRUE,FALSE,FALSE,0,0,1
155,100,Fail,FALSE,FALSE,FALSE,0,0,0
156,100,Fail,FALSE,FALSE,TRUE,0,0,1
157,100,Fail,TRUE,FALSE,FALSE,0,0,0
158,100,Fail,FALSE,FALSE,FALSE,0,0,0
159,100,Win,TRUE,TRUE,FALSE,0,1,2
160,100,Win,TRUE,TRUE,TRUE,3,1,4
161,100,Fail,TRUE,FALSE,FALSE,0,0,0
162,100,Win,TRUE,FALSE,TRUE,0,0,2
163,100,Fail,FALSE,FALSE,FALSE,0,0,0
164,100,Fail,FALSE,FALSE,FALSE,0,0,0
165,100,Fail,FALSE,FALSE,FALSE,0,0,0
166,100,Win,FALSE,FALSE,TRUE,1,0,2
167,100,Win,FALSE,FALSE,TRUE,2,1,4
168,100,Fail,FALSE,FALSE,FALSE,0,0,0
169,100,Fail,FALSE,FALSE,TRUE,0,0,1
170,100,Fail,FALSE,FALSE,FALSE,0,0,0
171,100,Win,FALSE,TRUE,TRUE,2,1,4
