blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
0.00,0.70,327.60,444.40,0.50,134.30,1.00,6.30,230.40,402.90,0.30,-0.10
0.00,8.80,309.80,444.80,0.00,0.00,1.00,8.80,340.10,502.20,0.00,0.00
1.00,7.10,325.80,457.40,-0.20,-13.60,0.00,1.30,178.10,237.20,-1.00,-61.35
1.00,1.70,227.10,274.90,1.00,61.35,0.00,1.50,331.30,388.70,1.00,23.80
1.00,6.20,349.60,434.90,-1.10,42.40,0.00,7.20,306.50,271.90,-1.00,-61.35
1.00,0.50,290.30,364.90,-1.00,-23.80,0.00,7.30,306.00,392.50,1.10,-42.40
1.00,8.80,330.60,356.90,1.00,61.35,0.00,7.30,296.80,471.00,0.20,13.60
0.00,4.70,218.20,264.70,0.00,0.00,1.00,8.10,401.00,422.70,0.00,0.00
0.00,7.90,325.00,478.90,3.00,63.20,1.00,1.30,232.20,233.70,0.00,0.00
0.00,0.70,199.90,217.40,0.00,0.00,1.00,6.10,274.80,405.60,0.00,0.00
0.00,6.30,261.70,419.20,0.00,0.00,1.00,0.70,337.20,325.50,0.50,45.80
0.00,0.20,217.00,279.70,-0.50,-45.80,1.00,4.90,229.60,415.70,-3.00,-63.20
1.00,6.80,316.50,434.50,0.00,0.00,0.00,1.40,175.80,258.50,-0.60,7.95
1.00,0.40,404.40,404.80,-0.40,15.30,0.00,5.80,310.80,317.00,-0.60,7.95
1.00,7.80,401.40,478.40,0.00,0.00,0.00,4.80,284.40,398.40,0.00,0.00
1.00,7.20,325.10,288.80,0.60,-7.95,0.00,7.90,522.80,450.70,0.00,0.00
1.00,1.20,213.40,270.80,0.60,-7.95,0.00,0.80,319.40,389.50,0.40,-15.30
1.00,5.90,314.20,364.80,0.00,0.00,0.00,6.30,303.30,396.90,0.00,0.00
1.00,0.70,327.90,346.00,0.70,58.00,0.00,7.90,314.80,451.70,0.00,0.00
1.00,4.90,208.40,406.60,0.00,0.00,0.00,0.00,298.50,288.00,-0.70,-58.00
1.00,9.80,358.90,389.10,0.55,-25.05,0.00,8.60,274.50,384.20,-0.55,25.05
1.00,1.40,173.90,249.70,0.55,-25.05,0.00,1.50,178.50,304.70,-0.55,25.05
0.00,5.80,331.20,324.40,-0.60,-2.20,1.00,8.30,310.60,507.60,0.00,0.00
0.00,5.60,245.30,416.50,0.00,0.00,1.00,1.30,224.10,265.90,0.60,2.20
0.00,1.10,226.50,257.60,-0.60,-2.20,1.00,6.80,353.80,320.50,0.60,2.20
0.00,8.90,317.90,513.00,0.00,0.00,1.00,7.90,352.40,501.80,0.00,0.00
0.00,0.60,353.90,310.10,0.50,-98.20,1.00,0.10,370.30,408.30,-0.50,98.20
1.00,7.20,293.50,489.70,0.28,38.58,0.00,5.50,233.00,357.90,-0.28,-38.58
1.00,7.30,290.60,387.70,0.28,38.58,0.00,8.90,346.00,356.70,-0.28,-38.58
1.00,7.90,314.30,419.10,0.28,38.58,0.00,6.50,260.80,421.10,-0.28,-38.58
1.00,0.10,301.30,305.20,0.28,38.58,0.00,0.50,251.10,278.20,-0.28,-38.58
1.00,2.10,219.30,234.40,0.28,38.58,0.00,1.80,202.70,229.30,-0.28,-38.58
0.00,5.90,225.00,347.60,-0.72,-77.72,1.00,9.00,431.50,467.00,0.72,77.72
0.00,1.20,156.30,228.70,-0.72,-77.72,1.00,0.30,399.70,375.40,0.72,77.72
0.00,0.60,234.40,280.90,-0.72,-77.72,1.00,6.10,322.30,432.70,0.72,77.72
0.00,6.60,289.30,404.10,-0.72,-77.72,1.00,1.30,189.20,297.20,0.72,77.72
0.00,7.70,259.20,267.90,-0.72,-77.72,1.00,8.90,381.00,345.50,0.72,77.72
1.00,1.30,286.10,296.80,0.40,29.05,0.00,7.60,326.20,413.60,-0.10,-24.30
1.00,8.00,345.60,341.70,0.40,29.05,0.00,7.50,341.90,477.70,0.00,0.00
1.00,7.70,358.60,437.90,0.10,24.30,0.00,0.10,267.70,311.70,0.00,0.00
1.00,5.00,207.50,406.80,0.00,0.00,0.00,7.40,295.80,314.00,-0.40,-29.05
1.00,1.30,348.70,352.10,0.00,0.00,0.00,1.10,181.80,266.40,-0.40,-29.05
1.00,7.60,383.50,455.30,0.00,0.00,0.00,4.50,207.50,360.00,0.00,0.00
1.00,7.30,334.90,303.90,-0.05,44.40,0.00,0.00,317.00,365.60,0.00,0.00
1.00,1.40,194.70,317.50,-0.05,44.40,0.00,7.30,311.20,438.20,0.50,-21.50
1.00,6.80,283.80,459.70,-0.50,21.50,0.00,1.00,155.80,275.40,0.05,-44.40
1.00,0.20,218.10,234.40,0.00,0.00,0.00,7.80,264.30,257.20,0.05,-44.40
0.00,5.00,240.60,373.60,-0.26,-54.60,1.00,5.40,275.10,419.70,0.26,54.60
0.00,5.40,262.30,253.20,-0.26,-54.60,1.00,0.60,390.60,371.50,0.26,54.60
0.00,1.30,163.00,208.20,-0.26,-54.60,1.00,9.20,481.70,384.90,0.26,54.60
0.00,1.00,335.20,337.20,-0.26,-54.60,1.00,1.50,257.70,302.40,0.26,54.60
0.00,9.70,336.70,488.40,-0.26,-54.60,1.00,7.00,278.00,455.10,0.26,54.60
0.00,7.10,302.30,480.10,0.00,0.00,1.00,5.30,231.00,409.10,0.00,0.00
0.00,9.20,305.20,530.10,0.00,0.00,1.00,8.30,315.00,475.80,0.00,0.00
0.00,1.20,267.00,256.10,-4.10,-83.20,1.00,5.30,444.70,339.30,4.10,83.20
0.00,0.00,338.50,382.30,-1.50,-26.60,1.00,2.10,313.10,351.10,0.00,0.00
0.00,6.50,306.30,261.90,0.00,0.00,1.00,1.50,444.70,408.90,1.50,26.60
1.00,1.10,189.60,245.10,0.00,0.00,0.00,0.60,199.20,258.90,0.00,0.00
1.00,7.10,315.00,369.70,0.00,0.00,0.00,8.10,305.70,459.00,2.00,45.00
1.00,0.40,301.20,327.10,0.20,21.60,0.00,0.20,268.50,305.50,-0.20,-21.60
1.00,6.80,288.10,398.50,0.00,0.00,0.00,7.60,392.80,490.00,0.00,0.00
1.00,6.10,290.30,414.00,-2.00,-45.00,0.00,5.50,229.90,294.80,0.00,0.00
1.00,0.30,274.80,409.80,0.00,61.30,0.00,7.00,287.30,503.40,-0.40,62.10
1.00,1.00,175.70,246.70,-0.55,-24.25,0.00,1.60,191.80,293.30,0.55,24.25
1.00,7.60,297.90,294.60,-0.55,-24.25,0.00,8.40,382.30,473.90,0.70,17.80
1.00,7.70,370.40,456.10,-0.70,-17.80,0.00,0.30,294.40,348.50,0.00,-61.30
1.00,7.40,247.90,441.30,0.40,-62.10,0.00,8.10,314.80,296.50,0.55,24.25
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,8.50,311.10,470.90,-1.60,19.00,0.00,1.20,199.50,224.20,0.00,0.00
1.00,0.10,292.40,348.90,0.00,34.10,0.00,9.50,314.40,355.20,1.60,-19.00
1.00,7.00,245.50,301.90,0.00,0.00,0.00,8.70,360.30,490.80,1.60,-19.00
1.00,1.70,147.80,239.80,0.00,0.00,0.00,0.10,238.90,314.80,0.00,-34.10
1.00,6.50,243.00,413.10,-1.60,19.00,0.00,6.50,266.70,444.00,0.00,0.00
1.00,0.10,205.70,262.90,2.30,144.85,0.00,5.90,297.00,376.10,-1.70,-74.50
1.00,5.40,283.30,454.50,-1.30,68.00,0.00,6.70,258.20,386.50,1.30,-68.00
1.00,7.80,340.40,314.80,2.30,144.85,0.00,1.00,321.40,385.90,0.50,73.20
1.00,0.50,270.10,312.70,-0.50,-73.20,0.00,1.80,207.50,179.70,-2.30,-144.85
1.00,7.60,392.00,450.60,1.70,74.50,0.00,1.50,151.60,108.30,-2.30,-144.85
0.00,0.70,256.70,278.10,0.30,-104.70,1.00,8.40,288.60,462.20,0.00,0.00
0.00,7.20,253.00,390.30,0.00,0.00,1.00,0.40,362.90,382.80,-0.30,104.70
0.00,7.30,257.50,287.40,0.00,0.00,1.00,7.20,304.70,314.90,0.00,0.00
0.00,0.20,165.60,224.40,0.00,0.00,1.00,6.40,283.30,377.70,0.00,0.00
0.00,5.60,287.90,433.90,0.00,0.00,1.00,1.50,221.40,272.80,0.00,0.00
1.00,1.30,257.70,240.40,0.00,0.00,0.00,7.30,280.50,322.40,0.00,0.00
1.00,6.70,319.50,291.90,0.00,0.00,0.00,1.10,159.20,185.40,0.00,0.00
1.00,0.50,284.90,352.00,-0.30,21.90,0.00,6.40,225.60,355.90,0.00,0.00
1.00,8.20,314.90,522.90,-0.40,60.80,0.00,0.80,288.70,330.10,0.30,-21.90
1.00,7.30,359.70,499.50,0.00,0.00,0.00,8.60,279.40,462.10,0.40,-60.80
0.00,0.40,262.10,246.80,0.00,0.00,1.00,7.80,405.70,557.90,0.00,0.00
0.00,5.60,208.80,338.60,0.00,0.00,1.00,0.60,327.20,333.20,-1.10,-31.90
0.00,6.60,319.80,392.20,0.00,0.00,1.00,6.30,318.00,503.50,0.00,0.00
0.00,1.70,258.50,365.10,1.10,31.90,1.00,8.00,442.00,298.90,0.00,0.00
0.00,4.20,245.80,248.40,0.00,0.00,1.00,0.40,343.20,302.90,0.00,0.00
1.00,5.00,239.60,383.20,0.76,40.34,0.00,5.90,314.50,419.10,-0.76,-40.34
1.00,0.50,270.60,331.40,0.76,40.34,0.00,0.10,246.30,320.90,-0.76,-40.34
1.00,8.40,329.10,283.50,0.76,40.34,0.00,5.60,293.40,366.60,-0.76,-40.34
1.00,6.10,443.30,523.10,0.76,40.34,0.00,5.40,207.40,270.80,-0.76,-40.34
1.00,1.20,221.40,269.20,0.76,40.34,0.00,0.40,157.70,211.30,-0.76,-40.34
0.00,6.00,345.50,356.60,1.20,-21.40,1.00,0.20,171.30,254.20,-1.00,-0.90
0.00,1.20,304.90,336.60,0.50,-12.20,1.00,7.40,286.80,348.40,-1.00,-0.90
0.00,7.70,391.50,322.60,1.00,0.90,1.00,4.80,335.20,378.00,-1.20,21.40
0.00,1.90,238.60,281.80,1.00,0.90,1.00,0.70,307.40,348.80,-0.50,12.20
0.00,6.40,263.90,413.80,0.60,54.80,1.00,5.80,228.40,359.00,-0.60,-54.80
1.00,8.10,344.00,451.20,0.32,46.68,0.00,5.60,324.70,369.80,-0.32,-46.68
1.00,7.30,340.60,325.90,0.32,46.68,0.00,7.20,267.90,462.10,-0.32,-46.68
1.00,7.20,428.50,495.50,0.32,46.68,0.00,0.00,269.30,270.80,-0.32,-46.68
1.00,0.30,248.60,297.70,0.32,46.68,0.00,7.50,343.40,301.30,-0.32,-46.68
1.00,0.70,326.10,350.70,0.32,46.68,0.00,1.70,201.20,283.60,-0.32,-46.68
0.00,8.20,284.60,488.40,0.60,26.20,1.00,1.40,217.00,287.60,0.80,47.20
0.00,6.80,240.30,267.10,-0.80,-47.20,1.00,9.20,382.50,326.70,0.80,47.20
0.00,2.20,168.80,252.80,-0.80,-47.20,1.00,7.90,302.80,408.30,1.50,20.80
0.00,0.40,286.00,369.00,-0.30,48.20,1.00,7.60,321.70,462.20,-0.60,-26.20
0.00,6.40,332.70,387.50,-1.50,-20.80,1.00,0.70,227.70,320.80,0.30,-48.20
0.00,7.00,239.40,433.50,0.00,0.00,1.00,6.10,231.10,391.10,0.00,0.00
0.00,5.90,288.80,254.10,0.00,0.00,1.00,0.80,341.60,456.30,0.60,100.40
0.00,0.20,399.00,355.90,-0.60,-100.40,1.00,1.20,259.20,249.10,0.00,0.00
0.00,0.80,192.60,227.40,0.00,0.00,1.00,8.20,383.70,343.30,0.00,0.00
0.00,6.50,264.90,447.00,0.00,0.00,1.00,8.40,327.50,484.60,0.00,0.00
1.00,1.80,209.70,216.40,0.00,-25.65,0.00,6.70,309.90,426.50,0.00,0.00
1.00,6.30,321.80,327.10,0.00,-25.65,0.00,1.50,211.50,253.10,0.00,25.65
1.00,8.00,368.20,490.80,0.00,0.00,0.00,6.60,269.50,341.70,0.00,25.65
1.00,6.50,249.10,433.90,0.00,0.00,0.00,8.50,339.10,481.20,0.00,0.00
1.00,0.10,311.20,342.70,-0.70,-1.70,0.00,0.80,333.30,344.40,0.70,1.70
1.00,6.80,322.10,451.60,-1.20,-57.70,0.00,6.10,266.30,294.50,-1.00,-54.60
1.00,1.30,363.00,399.90,1.10,46.40,0.00,0.90,147.00,214.50,-1.00,-54.60
1.00,6.40,273.00,417.50,-1.20,-73.30,0.00,8.00,333.10,509.30,1.20,57.70
1.00,8.60,340.50,337.80,1.00,54.60,0.00,0.20,398.10,353.50,-1.10,-46.40
1.00,0.40,310.50,280.40,1.00,54.60,0.00,7.60,311.20,490.80,1.20,73.30
1.00,1.50,174.80,226.70,-0.56,-31.36,0.00,7.80,351.20,456.00,0.56,31.36
1.00,0.90,373.10,362.60,-0.56,-31.36,0.00,8.10,337.10,344.80,0.56,31.36
1.00,6.00,299.60,355.20,-0.56,-31.36,0.00,1.30,223.20,257.20,0.56,31.36
1.00,6.80,252.20,336.40,-0.56,-31.36,0.00,5.90,262.00,412.00,0.56,31.36
1.00,5.90,307.90,460.90,-0.56,-31.36,0.00,0.80,441.70,428.60,0.56,31.36
1.00,1.30,178.50,280.90,0.30,8.80,0.00,1.00,364.00,378.90,0.70,90.00
1.00,0.30,298.70,288.90,-0.70,-90.00,0.00,1.00,172.90,210.30,-0.30,-8.80
1.00,8.50,320.80,515.40,1.60,105.00,0.00,8.30,276.70,358.70,-0.30,-8.80
1.00,8.60,305.60,305.70,0.30,8.80,0.00,6.90,297.40,410.40,-1.60,-105.00
1.00,6.20,313.00,415.60,1.60,130.50,0.00,4.60,247.80,285.10,-1.60,-130.50
1.00,0.70,385.80,419.70,0.10,86.60,0.00,7.50,277.80,457.10,0.00,0.00
1.00,6.90,279.40,453.10,0.00,0.00,0.00,1.40,169.50,259.10,0.30,-5.35
1.00,8.20,275.00,354.60,-0.30,5.35,0.00,0.60,244.60,333.10,-0.10,-86.60
1.00,1.50,158.60,241.00,-0.30,5.35,0.00,8.90,296.20,325.80,0.30,-5.35
1.00,8.50,447.50,502.60,0.00,0.00,0.00,5.10,196.00,320.90,0.00,0.00
0.00,0.50,291.00,295.90,-0.70,-125.40,1.00,1.00,213.70,203.40,0.00,0.00
0.00,7.40,241.90,377.90,0.00,0.00,1.00,8.30,333.50,389.30,0.00,0.00
0.00,0.90,174.90,207.90,-5.20,-146.80,1.00,6.40,317.60,463.10,0.00,0.00
0.00,6.30,239.20,389.60,0.00,0.00,1.00,1.20,321.60,421.30,0.70,125.40
0.00,6.90,302.60,335.70,0.00,0.00,1.00,6.10,257.10,354.70,5.20,146.80
0.00,7.40,377.10,486.90,0.00,0.00,1.00,7.90,327.20,442.90,0.00,0.00
0.00,0.80,180.80,280.40,0.50,11.90,1.00,5.70,264.10,416.70,0.00,0.00
0.00,8.00,256.90,346.10,0.50,11.90,1.00,0.10,170.50,292.30,-0.50,-11.90
0.00,0.10,329.00,404.10,0.00,-4.00,1.00,0.10,329.90,408.10,0.00,4.00
0.00,6.70,370.10,450.20,0.00,0.00,1.00,7.70,269.20,310.40,-0.50,-11.90
1.00,6.80,591.90,512.60,0.80,111.40,0.00,6.80,331.20,423.60,-1.60,-41.30
1.00,8.40,324.70,464.90,1.60,41.30,0.00,0.40,337.10,381.90,-0.20,-72.90
1.00,1.50,293.10,359.40,0.00,40.10,0.00,6.00,319.20,401.20,-0.80,-111.40
1.00,0.60,416.30,454.80,0.20,72.90,0.00,8.30,319.30,328.30,0.00,-40.10
1.00,8.30,311.10,338.30,0.00,40.10,0.00,1.50,185.50,289.20,0.00,-40.10
0.00,5.00,211.50,431.10,-2.80,-33.90,1.00,1.30,150.80,260.40,0.00,0.00
0.00,9.30,306.20,377.00,0.00,0.00,1.00,8.60,336.00,408.60,0.00,0.00
0.00,8.10,331.10,495.20,0.00,0.00,1.00,0.20,267.00,351.40,-0.20,28.30
0.00,1.50,209.70,302.10,0.00,0.00,1.00,7.80,323.10,465.00,2.80,33.90
0.00,0.40,302.40,323.10,0.20,-28.30,1.00,8.20,276.80,338.30,0.00,0.00
1.00,1.40,174.40,221.20,0.80,21.20,0.00,6.10,298.60,407.10,0.00,0.00
1.00,1.30,344.10,428.80,1.00,126.00,0.00,0.30,264.10,302.80,-1.00,-126.00
1.00,6.30,280.10,410.10,0.00,0.00,0.00,3.60,197.30,288.20,0.00,0.00
1.00,8.20,319.10,489.20,0.00,0.00,0.00,7.10,311.40,310.00,-0.80,-21.20
1.00,8.60,321.30,352.60,0.80,21.20,0.00,1.30,165.70,221.40,-0.80,-21.20
0.00,7.10,313.30,432.40,2.10,64.60,1.00,5.00,300.50,367.80,-2.10,-64.60
0.00,6.70,291.40,487.30,-0.70,68.20,1.00,1.60,396.10,477.90,1.00,129.70
0.00,1.20,161.60,241.90,0.55,2.45,1.00,7.40,290.00,419.10,0.70,-68.20
0.00,0.60,271.60,348.20,-1.00,-129.70,1.00,6.30,351.70,301.00,-0.55,-2.45
0.00,6.40,302.30,296.10,0.55,2.45,1.00,0.20,267.10,232.10,-0.55,-2.45
0.00,0.80,301.00,286.20,0.60,11.14,1.00,2.30,228.60,296.00,-0.60,-11.14
0.00,1.40,206.20,199.90,0.60,11.14,1.00,5.20,426.50,272.20,-0.60,-11.14
0.00,6.90,331.80,397.20,0.60,11.14,1.00,5.40,224.30,348.80,-0.60,-11.14
0.00,6.60,351.70,350.90,0.60,11.14,1.00,0.10,292.30,280.90,-0.60,-11.14
0.00,7.30,417.70,473.30,0.60,11.14,1.00,7.00,384.30,453.90,-0.60,-11.14
1.00,5.40,279.10,405.40,0.44,74.28,0.00,1.30,225.80,307.40,-0.44,-74.28
1.00,7.40,317.00,452.40,0.44,74.28,0.00,7.60,289.60,416.30,-0.44,-74.28
1.00,1.90,315.40,297.50,0.44,74.28,0.00,8.10,272.50,462.50,-0.44,-74.28
1.00,0.90,384.80,395.00,0.44,74.28,0.00,3.00,244.60,168.60,-0.44,-74.28
1.00,7.80,486.60,394.90,0.44,74.28,0.00,1.20,158.80,219.00,-0.44,-74.28
1.00,8.40,435.40,563.50,0.32,17.96,0.00,7.00,285.40,403.90,-0.32,-17.96
1.00,0.90,359.60,378.10,0.32,17.96,0.00,0.60,283.50,275.80,-0.32,-17.96
1.00,0.30,174.30,231.90,0.32,17.96,0.00,0.90,363.80,393.20,-0.32,-17.96
1.00,6.60,275.60,288.60,0.32,17.96,0.00,6.20,216.80,409.10,-0.32,-17.96
1.00,7.20,264.50,445.70,0.32,17.96,0.00,7.10,328.00,336.00,-0.32,-17.96
1.00,7.00,373.90,461.80,0.40,43.90,0.00,4.60,255.80,343.80,0.00,0.00
1.00,0.90,188.80,242.20,-0.40,-20.60,0.00,6.60,252.60,417.90,-0.40,-43.90
1.00,8.00,268.90,355.20,-0.40,-20.60,0.00,0.30,463.50,356.60,0.00,0.00
1.00,0.70,451.90,333.50,0.00,0.00,0.00,8.70,267.80,410.20,0.40,20.60
1.00,5.40,313.50,384.10,0.00,0.00,0.00,1.00,148.30,228.40,0.40,20.60
0.00,4.90,223.00,391.40,-2.70,-56.30,1.00,0.50,328.70,360.00,0.10,15.40
0.00,1.10,211.00,224.90,0.25,-43.45,1.00,6.00,317.80,464.00,1.20,86.20
0.00,7.90,302.40,347.70,0.25,-43.45,1.00,7.60,343.00,447.70,2.70,56.30
0.00,0.40,311.70,344.60,-0.10,-15.40,1.00,1.10,429.00,313.70,-0.25,43.45
0.00,4.80,260.20,377.80,-1.20,-86.20,1.00,7.40,305.30,345.80,-0.25,43.45
1.00,1.30,243.50,322.90,-5.60,-100.70,0.00,9.20,341.30,376.90,2.30,10.20
1.00,6.50,304.90,408.20,3.55,78.95,0.00,1.10,267.70,277.90,0.30,-106.90
1.00,0.80,317.60,384.80,-0.30,106.90,0.00,1.30,196.20,285.70,-3.55,-78.95
1.00,6.90,264.10,366.70,-2.30,-10.20,0.00,5.10,274.70,389.40,-3.55,-78.95
1.00,7.00,246.90,424.80,3.55,78.95,0.00,6.90,285.90,423.60,5.60,100.70
0.00,7.70,333.80,458.10,0.00,0.00,1.00,0.10,329.60,402.70,-0.30,11.10
0.00,8.10,402.20,335.60,0.00,0.00,1.00,9.00,304.90,466.50,0.00,0.00
0.00,1.40,233.40,289.30,0.00,0.00,1.00,6.40,261.20,425.20,-0.90,10.90
0.00,7.30,261.20,414.30,0.90,-10.90,1.00,6.40,219.00,279.90,0.00,0.00
0.00,0.40,352.50,391.60,0.30,-11.10,1.00,1.20,142.10,211.50,0.00,0.00
1.00,1.60,237.20,331.80,0.14,36.34,0.00,1.90,221.70,302.50,-0.14,-36.34
1.00,0.40,318.90,427.30,0.14,36.34,0.00,6.80,322.10,458.30,-0.14,-36.34
1.00,7.70,325.80,486.00,0.14,36.34,0.00,8.60,275.50,451.60,-0.14,-36.34
1.00,8.60,336.30,354.60,0.14,36.34,0.00,7.20,304.30,290.20,-0.14,-36.34
1.00,7.20,264.00,414.60,0.14,36.34,0.00,0.30,294.30,330.00,-0.14,-36.34
1.00,6.70,251.80,420.80,0.00,0.00,0.00,6.40,275.40,462.80,0.00,0.00
1.00,0.80,266.10,343.60,0.00,0.00,0.00,7.50,329.40,523.40,1.00,43.00
1.00,8.30,354.70,323.70,-0.15,-21.50,0.00,1.10,313.10,386.10,0.00,0.00
1.00,6.50,298.50,480.40,-1.00,-43.00,0.00,8.10,340.40,309.70,0.15,21.50
1.00,1.00,162.80,239.70,-0.15,-21.50,0.00,1.50,175.60,296.70,0.15,21.50
0.00,0.80,294.70,276.50,0.00,0.00,1.00,5.10,343.10,434.10,-3.00,15.40
0.00,5.10,281.50,403.20,-2.40,75.40,1.00,1.70,373.50,489.50,0.00,0.00
0.00,1.60,183.60,273.90,0.00,0.00,1.00,2.00,187.80,259.30,0.00,0.00
0.00,6.10,223.00,294.50,0.00,0.00,1.00,8.30,377.10,455.80,0.00,0.00
0.00,8.10,257.10,418.70,3.00,-15.40,1.00,7.50,284.60,327.80,2.40,-75.40
0.00,5.90,221.30,392.10,-0.80,-44.08,1.00,8.10,319.50,463.10,0.80,44.08
0.00,7.10,322.60,349.10,-0.80,-44.08,1.00,7.20,268.40,331.80,0.80,44.08
0.00,0.30,289.70,331.90,-0.80,-44.08,1.00,1.20,200.30,251.80,0.80,44.08
0.00,1.20,197.00,247.50,-0.80,-44.08,1.00,6.80,356.60,468.90,0.80,44.08
0.00,6.50,327.30,426.90,-0.80,-44.08,1.00,1.70,450.90,452.30,0.80,44.08
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,1.40,185.80,267.10,0.00,0.00,0.00,1.20,217.50,268.40,0.00,0.00
1.00,0.20,284.60,307.20,-0.60,-84.00,0.00,6.90,387.40,459.60,0.00,0.00
1.00,6.10,352.20,413.70,0.80,-34.10,0.00,0.80,331.30,391.20,0.60,84.00
1.00,5.90,356.50,398.00,0.00,0.00,0.00,8.40,290.20,327.80,0.00,0.00
1.00,9.00,282.40,361.70,0.00,0.00,0.00,5.30,368.40,447.80,-0.80,34.10
1.00,7.00,306.60,417.00,1.40,-26.50,0.00,5.60,270.20,443.50,-1.40,26.50
1.00,0.60,273.00,296.80,0.30,13.90,0.00,7.90,359.40,416.50,0.95,62.15
1.00,0.30,214.80,210.60,-0.95,-62.15,0.00,0.90,162.00,232.90,0.95,62.15
1.00,6.60,282.20,314.50,-0.95,-62.15,0.00,8.70,295.30,462.30,-0.30,-16.90
1.00,9.00,387.30,479.20,0.30,16.90,0.00,0.30,378.20,282.90,-0.30,-13.90
0.00,7.00,312.60,477.70,0.00,0.00,1.00,6.10,232.90,420.60,0.00,0.00
0.00,0.30,289.70,338.50,-1.40,-34.80,1.00,1.40,187.50,238.00,1.10,11.80
0.00,9.20,321.80,504.50,0.00,0.00,1.00,1.70,292.00,373.30,1.40,34.80
0.00,7.30,272.50,307.10,-1.10,-11.80,1.00,9.50,366.50,365.30,1.10,11.80
0.00,1.40,213.20,272.60,-1.10,-11.80,1.00,6.60,255.60,380.30,0.00,0.00
0.00,7.40,334.70,440.90,0.50,-71.20,1.00,6.90,278.20,512.10,-0.50,71.20
0.00,1.40,160.70,256.10,0.10,-12.30,1.00,7.90,298.00,332.00,-0.10,12.30
0.00,7.20,343.40,456.60,0.50,43.10,1.00,0.80,340.40,383.10,0.50,-7.40
0.00,8.00,306.50,295.40,0.10,-12.30,1.00,6.70,230.60,413.50,-0.50,-43.10
0.00,0.30,274.70,390.50,-0.50,7.40,1.00,1.30,163.50,244.10,-0.10,12.30
1.00,5.20,274.10,394.70,-0.70,-12.80,0.00,6.80,249.30,419.80,0.00,0.00
1.00,7.70,295.70,379.30,0.00,0.00,0.00,8.50,310.50,362.30,0.00,0.00
1.00,6.90,399.10,447.90,0.00,0.00,0.00,0.50,228.70,220.80,0.00,0.00
1.00,0.70,345.60,452.50,0.40,139.60,0.00,5.90,252.70,407.50,0.70,12.80
1.00,1.30,204.00,256.20,0.00,0.00,0.00,0.30,276.40,312.90,-0.40,-139.60
1.00,0.70,214.10,224.50,0.00,0.00,0.00,7.30,261.60,395.70,0.00,0.00
1.00,5.90,269.40,288.10,0.00,0.00,0.00,5.00,309.20,319.80,0.00,0.00
1.00,0.80,344.60,373.20,-0.10,17.20,0.00,2.00,204.80,273.90,0.00,0.00
1.00,7.90,283.30,460.60,2.10,58.50,0.00,0.90,463.60,356.00,0.10,-17.20
1.00,7.00,328.80,431.00,0.00,0.00,0.00,5.80,226.40,402.10,-2.10,-58.50
1.00,0.30,377.70,368.50,-0.60,24.90,0.00,6.30,304.80,422.70,0.00,0.00
1.00,6.80,342.10,401.10,0.00,0.00,0.00,1.30,151.80,238.20,-0.50,-64.00
1.00,8.10,261.60,458.10,0.00,0.00,0.00,6.70,249.30,255.80,-0.50,-64.00
1.00,7.60,378.10,362.30,0.50,64.00,0.00,0.90,308.90,343.60,0.60,-24.90
1.00,1.40,180.60,259.70,0.50,64.00,0.00,8.80,277.90,460.40,0.00,0.00
1.00,7.40,327.60,478.30,0.82,60.48,0.00,7.40,282.30,440.30,-0.82,-60.48
1.00,7.90,498.90,492.50,0.82,60.48,0.00,5.60,300.30,269.60,-0.82,-60.48
1.00,1.00,238.60,246.00,0.82,60.48,0.00,1.90,169.70,234.60,-0.82,-60.48
1.00,8.00,359.20,361.80,0.82,60.48,0.00,0.70,249.80,354.30,-0.82,-60.48
1.00,0.90,373.80,387.10,0.82,60.48,0.00,5.50,211.40,364.50,-0.82,-60.48
1.00,7.30,262.70,408.50,0.60,27.40,0.00,0.30,226.50,246.10,-0.10,-23.70
1.00,7.70,258.00,457.00,0.80,16.30,0.00,8.40,277.10,364.40,-0.10,-23.70
1.00,8.80,349.30,404.10,0.10,23.70,0.00,0.30,296.80,319.10,-0.20,8.90
1.00,0.50,275.00,310.20,0.20,-8.90,0.00,6.70,318.70,381.10,-0.60,-27.40
