blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
1.00,0.40,254.60,251.40,0.40,-17.80,0.00,0.00,316.00,269.20,-0.40,17.80
1.00,1.40,177.10,253.50,0.45,19.65,0.00,7.40,268.00,459.60,0.00,0.00
1.00,4.80,244.80,388.00,0.00,0.00,0.00,7.50,286.70,300.10,-0.45,-19.65
0.00,5.50,287.10,370.00,0.00,0.00,1.00,1.50,249.40,251.80,0.85,52.55
0.00,0.70,269.40,332.40,0.10,-37.50,1.00,7.80,396.70,348.60,0.85,52.55
0.00,5.30,246.10,341.20,0.00,0.00,1.00,8.20,333.50,507.50,0.00,0.00
0.00,1.80,170.40,225.20,-0.85,-52.55,1.00,0.60,371.20,369.90,-0.10,37.50
0.00,5.80,247.90,270.10,-0.85,-52.55,1.00,6.90,308.30,484.90,0.00,0.00
1.00,7.00,262.10,335.70,-0.05,-42.25,0.00,7.60,317.60,462.20,1.10,107.00
1.00,1.60,202.90,232.70,-0.05,-42.25,0.00,7.70,324.20,389.70,0.05,42.25
1.00,0.40,307.40,386.60,0.00,19.20,0.00,1.00,211.10,263.20,0.05,42.25
1.00,6.50,248.80,355.20,-1.10,-107.00,0.00,0.40,343.40,367.40,0.00,-19.20
1.00,8.30,325.70,485.30,1.20,39.30,0.00,7.10,244.10,446.00,-1.20,-39.30
0.00,0.10,268.10,291.60,-0.90,-141.40,1.00,8.10,318.60,325.10,0.20,-7.25
0.00,7.70,314.60,314.40,-0.20,7.25,1.00,1.30,198.50,231.10,0.20,-7.25
0.00,1.30,175.50,256.30,-0.20,7.25,1.00,8.40,301.80,457.40,-0.60,-57.90
0.00,9.00,320.20,515.30,0.60,57.90,1.00,3.90,190.20,326.00,-4.80,-189.20
0.00,8.70,402.70,515.20,4.80,189.20,1.00,1.00,327.50,433.00,0.90,141.40
0.00,7.00,323.40,307.10,-0.65,-57.70,1.00,8.10,355.90,343.20,0.65,57.70
0.00,1.40,328.30,373.80,0.70,51.60,1.00,1.30,226.40,289.90,0.65,57.70
0.00,8.10,331.30,525.30,1.40,77.90,1.00,6.70,297.00,447.40,-1.40,-77.90
0.00,1.10,224.30,210.60,-0.65,-57.70,1.00,0.70,374.30,322.20,-0.70,-51.60
