teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,0,4.74,266.72,338.64,0.62,0.4,,
100,1,4.84,273.78,367.82,0.36,28.22,,
100,1,3.62,258.54,313.8,-0.6,-76.1,,
100,0,3.78,270.08,311.92,-0.12,-15.44,,
100,0,3.8,312.34,340.6,-0.56,-24.44,,
100,1,4.4,363.4,367.78,0.82,1.04,,
100,0,4.38,331.84,368.38,0.32,9.92,,
100,0,3.62,278.34,294.04,-0.38,-37.36,,
100,0,4.18,251.64,381.7,-0.7,-11.6,,
100,0,5.08,294.56,367.5,0.58,-17.68,,
100,0,4.18,295.02,362.42,0.18,2.8,,
100,1,4.52,284.26,372.96,0.28,31.24,,
100,1,5.5,316.76,398.44,0.98,51.68,,
100,0,3.94,230.28,326.3,-0.12,5.76,,
100,0,4.68,298.88,360.58,-0.28,-30.32,,
100,0,4.52,248.56,334.12,-2.2E-16,-61.86,,
100,0,4.86,312.08,349.02,-0.1,-17.44,,
100,1,5.52,334.34,401.52,-0.08,12.98,,
100,0,5.06,265.84,357.1,0.46,-2.84,,
100,0,3.98,295.68,357.36,-0.14,-7.54,,
100,0,4.16,266.64,342.04,0.26,-28.02,,
100,0,5.36,312.68,402.34,-0.32,4.02,,
100,1,4.46,333.12,384.6,0.12,15.14,,
100,1,4.44,281.62,358.18,0.22,5.52,,
100,1,5.26,293.22,380.32,0,14.28,,
100,0,3.7,248.94,290.66,-1.48,-115.34,,
100,1,4.68,304.9,384.08,0.24,-4.1,,
100,1,5.14,325.48,404.3,0,0,,
100,0,4.2,275.58,309.5,-0.04,-28.82,,
100,1,5.14,315.4,398.24,0.48,24,,
100,0,4.86,281.2,371.88,0.42,3.42,,
100,0,4.42,272,350.1,0.22,11.08,,
100,0,2.56,216.2,311.46,-0.52,-19.72,,
100,1,4.46,259.84,354.42,-0.24,-0.1,,
100,0,3.92,224.74,346.36,-0.26,-21.32,,
100,0,4.86,264.62,346.38,0.14,-45.2,,
100,0,5.12,276.72,373.72,0.2,23.8,,
100,0,5.2,291.78,384.36,-0.12,10.52,,
100,0,5,255.5,338.88,1.62,-3.24,,
100,0,4.84,254.6,341.98,0.66,6.88,,
100,1,4.58,302.3,371.1,0.08,17.32,,
100,1,4.86,369.44,400.76,-0.1,48.68,,
100,0,4.64,306.48,359.9,0.4,37.04,,
100,1,5,318.3,408.56,0.5,55.92,,
100,0,4.28,242.32,338.66,-0.12,-16.86,,
100,0,4.56,231.16,341.18,-0.92,-53.38,,
100,0,5.14,244.26,331.52,0.86,-26.24,,
100,1,4.94,274.8,374.08,0.24,7.36,,
100,1,4.04,281.9,338.66,-0.26,-0.36,,
100,0,4.64,263.4,352.68,0.04,13.94,,
100,0,4.98,237.68,350.42,-0.02,-31.42,,
100,0,5.34,281.64,366.42,0.4,16.1,,
100,1,5,323.9,389.6,0,0,,
100,0,4.52,238.76,337.52,-0.46,-41.34,,
100,0,5.18,298.1,355.92,0.86,11.18,,
100,1,4.88,323.84,389.66,-1,-33.6,,
100,0,4.6,316.5,377.64,0.38,1.84,,
100,1,5.16,302.42,360.88,1.12,55.98,,
100,1,4.7,307.26,389.06,0.02,47.64,,
100,1,0,0,0,0,0,,
100,1,4.16,264.82,348.46,-0.14,-12.68,,
100,0,4.22,241.08,310.2,-0.4,-40.56,,
100,1,5.08,344.04,404.08,0.3,56.64,,
100,0,5.02,291.22,347.32,0.06,0.28,,
100,0,4.54,286.74,359.7,0.28,10.32,,
100,1,4.18,356.5,367.14,0.66,18.86,,
100,0,4.14,251.94,343.54,0.08,-3.2,,
100,1,4.5,288.26,344.9,0.54,5.98,,
100,0,4.22,282.12,352.84,-0.44,-11.88,,
100,1,5.24,296.64,366.92,-1.12,-33.52,,
100,0,4.96,252.42,357.84,-0.5,-25.16,,
100,1,4.16,326.36,333.54,-0.28,6.74,,
100,0,3.96,259.72,349.66,-0.8,-37.3,,
100,0,5.32,268.76,359.38,0.92,7.16,,
100,1,4.94,287.08,391.2,0.12,30.72,,
100,0,4.42,266.06,343.12,-0.94,-23.16,,
100,0,3.96,292.4,339.7,-0.3,-6.62,,
100,0,4.7,269.5,334.52,0.34,-1.82,,
100,1,5.26,313.58,371.92,0.42,-3.42,,
100,1,4.16,284.92,351.06,-1,-29.76,,
100,1,5.04,285.16,366.78,0,0,,
100,1,2.4,505.68,700.44,0,0,,
100,0,1.98,491.26,650.36,0,0,,
100,0,3.76,241.02,315.32,-0.7,-55.66,,
100,1,3.24,340.7,316.56,-0.88,-24.54,,
100,1,2.06,557.16,832.3,0,0,,
100,1,2.14,511.36,713.12,-0.04,-29.48,,
100,1,2.24,487.66,681.12,0.06,-18.92,,
100,1,2.06,542.62,773.04,0.02,95.4,,
100,1,1.86,466.88,670.1,0,0,,
100,1,2.42,522.72,743.64,0,0,,
100,0,2.02,472.38,675.06,-0.48,-87.88,,
100,1,2.38,555.1,798.82,0.06,76.48,,
