kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
29,17,35,8,6,0,1,100
33,18,64,7,4,1,1,100
19,9,40,4,4,3,1,100
48,40,125,8,3,4,1,100
34,51,80,11,4,4,0,100
4,22,7,7,1,0,0,100
40,18,65,4,6,3,1,100
69,52,171,7,5,2,1,100
38,32,89,5,5,0,1,100
38,34,79,6,5,2,1,100
49,31,131,4,4,0,1,100
43,37,102,3,1,0,1,100
61,69,110,1,2,0,1,100
18,36,34,4,5,0,0,100
46,30,101,5,4,2,1,100
17,14,44,3,7,2,1,100
33,51,75,8,5,0,1,100
39,38,85,6,6,0,0,100
44,39,109,5,5,2,1,100
44,24,107,5,7,0,1,100
51,63,105,10,4,1,0,100
51,73,115,8,9,3,0,100
8,24,18,6,3,1,0,100
31,35,63,8,7,2,1,100
14,20,28,4,5,0,0,100
28,21,60,8,5,2,1,100
37,30,73,0,2,0,1,100
78,62,182,7,4,0,1,100
56,41,118,4,3,1,1,100
49,45,93,7,5,2,0,100
39,47,63,2,3,0,0,100
23,13,60,7,6,1,1,100
21,38,40,6,4,1,0,100
13,33,19,9,4,2,0,100
29,14,30,7,7,4,1,100
9,16,17,5,3,0,0,100
40,50,120,8,2,2,1,100
41,30,116,6,4,2,1,100
47,40,117,8,5,3,1,100
48,48,119,7,3,2,0,100
38,32,98,8,3,3,1,100
46,35,88,4,6,1,1,100
37,43,106,10,3,3,1,100
17,24,49,6,4,4,0,100
48,44,113,4,4,0,1,100
34,43,100,9,5,3,0,100
23,42,45,8,6,0,0,100
61,66,115,3,4,1,0,100
25,44,42,8,6,1,0,100
22,31,59,2,2,0,0,100
29,16,80,2,3,1,1,100
54,43,116,2,4,4,1,100
7,2,18,7,4,2,1,100
34,41,77,9,4,2,0,100
43,30,98,4,2,1,1,100
66,30,149,2,3,0,1,100
22,41,60,10,6,1,0,100
22,12,22,5,3,0,1,100
11,18,9,1,5,1,0,100
40,34,82,8,6,5,1,100
5,3,13,5,2,2,1,100
54,60,116,6,4,2,0,100
29,38,64,7,4,1,0,100
58,48,134,6,6,1,1,100
38,22,105,8,2,2,1,100
61,45,161,5,5,1,1,100
46,36,90,14,8,3,1,100
35,22,92,6,4,4,1,100
23,39,46,8,5,1,0,100
49,35,142,7,6,0,1,100
29,40,76,8,6,2,0,100
51,45,108,4,3,0,0,100
26,35,50,3,6,0,0,100
42,38,89,9,5,0,1,100
44,55,117,5,5,2,0,100
58,48,134,8,5,3,0,100
37,45,86,10,7,1,0,100
15,23,22,8,3,0,0,100
25,32,46,12,7,3,0,100
2,16,1,6,5,1,0,100
65,52,151,11,6,2,1,100
37,40,90,9,6,2,0,100
13,35,17,11,5,1,0,100
60,41,128,0,2,0,1,100
37,45,84,4,6,2,0,100
35,52,58,6,5,0,0,100
14,18,27,7,7,2,0,100
33,33,66,7,5,1,1,100
17,26,47,8,6,2,0,100
52,33,146,8,6,3,1,100
21,35,49,3,1,0,0,100
24,29,33,0,3,0,0,100
38,46,57,2,4,0,0,100
54,40,118,3,4,1,1,100
10,21,13,6,6,1,0,100
16,30,21,8,5,4,0,100
35,40,75,9,5,2,0,100
36,33,62,6,3,3,0,100
16,32,21,8,5,1,0,100
11,23,10,7,6,2,0,100
37,37,93,8,5,3,1,100
47,41,100,11,9,3,1,100
48,38,109,7,6,0,1,100
30,13,51,11,5,2,1,100
6,20,10,6,5,3,0,100
14,29,17,10,6,1,0,100
19,40,22,10,5,2,0,100
40,39,73,7,4,1,0,100
25,14,37,3,2,0,1,100
16,10,40,6,8,2,1,100
13,19,10,10,7,3,0,100
8,13,12,10,6,0,0,100
43,45,88,12,6,3,0,100
21,9,23,13,2,3,1,100
5,16,6,6,4,0,0,100
46,53,103,8,5,5,1,100
24,29,45,13,5,3,1,100
22,9,31,9,5,2,1,100
21,12,33,4,3,0,1,100
36,38,57,12,6,2,0,100
19,27,19,8,7,1,0,100
11,20,18,7,5,2,0,100
28,10,36,12,6,1,1,100
31,29,55,6,5,2,1,100
41,15,56,4,5,4,1,100
14,20,17,6,4,0,0,100
26,4,32,10,6,2,1,100
45,41,81,2,5,0,1,100
25,37,32,0,0,0,0,100
39,25,62,8,5,2,1,100
24,15,46,3,1,0,1,100
18,27,25,9,5,1,1,100
30,28,68,11,3,3,1,100
15,30,25,3,4,1,0,100
25,18,40,8,5,2,1,100
21,5,35,1,2,1,1,100
38,52,75,6,5,0,0,100
26,19,67,1,0,0,1,100
35,15,64,5,3,1,1,100
18,31,25,8,5,2,0,100
39,18,55,7,1,2,1,100
26,43,38,7,2,1,0,100
65,60,121,7,3,2,1,100
31,38,72,11,4,3,0,100
19,28,33,5,5,2,0,100
12,25,17,5,6,1,0,100
22,16,53,13,6,4,1,100
8,17,10,4,5,0,0,100
27,29,36,7,4,2,0,100
20,29,26,6,5,1,0,100
39,20,55,7,6,0,1,100
34,20,43,3,5,0,1,100
18,26,39,10,5,2,0,100
31,10,46,12,5,2,1,100
38,6,50,6,5,0,1,100
8,25,12,5,7,0,0,100
17,24,29,3,3,1,0,100
47,43,85,5,3,2,1,100
20,21,28,4,2,1,0,100
37,48,71,11,6,3,1,100
13,24,20,10,5,2,0,100
50,59,129,10,8,2,1,100
27,7,20,10,3,2,1,100
27,33,62,8,5,3,0,100
28,37,41,4,4,2,0,100
35,20,28,8,3,2,1,100
22,6,31,7,6,3,1,100
25,36,56,10,4,2,0,100
3,17,4,10,5,2,0,100
14,16,22,9,6,2,0,100
36,31,99,6,2,1,1,100
13,35,28,3,6,0,0,100
28,25,66,3,3,2,1,100
12,9,18,6,5,2,1,100
31,21,68,9,6,4,1,100
46,77,29,7,5,0,0,100
42,70,59,5,2,0,0,100
13,37,25,8,6,3,0,100
18,25,26,11,5,1,0,100
17,35,19,9,5,1,0,100
36,29,85,4,5,2,1,100
16,37,38,13,4,3,0,100
17,21,27,4,3,2,0,100
9,25,12,6,2,0,0,100
15,8,17,8,6,4,1,100
31,28,66,5,4,1,1,100
21,24,32,9,3,2,1,100
15,29,17,6,5,0,0,100
28,39,54,6,6,2,0,100
5,26,9,9,5,0,0,100
23,34,39,8,4,1,0,100
33,14,55,12,4,3,1,100
34,14,46,9,3,0,1,100
17,43,20,8,5,0,0,100
31,18,42,8,2,1,1,100
23,7,28,5,3,1,1,100
11,27,12,5,8,1,0,100
55,38,63,5,2,0,1,100
18,34,18,5,5,0,0,100
32,16,51,6,8,1,1,100
5,27,9,11,6,6,0,100
15,27,24,5,4,1,0,100
33,45,84,14,8,5,0,100
16,30,24,1,2,1,0,100
33,24,60,0,0,0,1,100
21,3,26,0,0,0,1,100
13,19,18,0,0,0,0,100
18,5,21,0,0,0,1,100
25,29,55,0,0,0,1,100
27,28,52,0,0,0,1,100
19,27,24,0,0,0,0,100
14,33,26,0,0,0,0,100
11,33,21,0,0,0,0,100
32,14,34,0,0,0,1,100
37,23,56,0,0,0,1,100
32,19,41,0,0,0,1,100
21,31,50,0,0,0,0,100
28,16,47,0,0,0,1,100
16,5,15,0,0,0,1,100
15,7,19,0,0,0,1,100
34,19,61,0,0,0,1,100
38,19,79,0,0,0,1,100
23,11,41,0,0,0,1,100
15,12,28,0,0,0,1,100
12,2,14,0,0,0,1,100
13,21,25,0,0,0,0,100
41,23,70,0,0,0,1,100
31,7,42,0,0,0,1,100
22,8,39,0,0,0,1,100
19,34,28,0,0,0,0,100
35,40,62,0,0,0,0,100
30,18,56,0,0,0,1,100
25,13,27,0,0,0,1,100
25,12,35,0,0,0,1,100
11,34,12,0,0,0,0,100
36,23,37,0,0,0,1,100
24,24,46,0,0,0,1,100
38,39,63,0,0,0,0,100
7,25,10,0,0,0,0,100
43,30,66,0,0,0,1,100
13,18,15,0,0,0,0,100
5,20,7,0,0,0,0,100
45,10,59,0,0,0,1,100
52,45,75,0,0,0,1,100
44,32,74,0,0,0,1,100
12,19,19,0,0,0,0,100
17,31,27,0,0,0,0,100
15,5,19,0,0,0,1,100
