Name,Season,Region,Games,Winrate,KD,GPM,GDM,Killsgame,Deathsgame,Towerskilled,Towerslost,FBrate,FTrate,DRAPG,DRArate,HERPG,HERrate,DRA15,TD15,GD15,NASHPG,NASHrate,CSM,DPM,WPM,VWPM,WCPM
SK Telecom T1,S7,KR,42,0.762,1.7,1936,272,15.2,8.9,8.1,4.3,50,52.4,2.29,66.6,0.45,95,0.57,0.2,861,0.98,69,33.6,2222,3.4,0.75,1.47
Afreeca Freecs,S7,KR,48,0.563,1.03,1824,51,11,10.7,6.8,5.9,50,47.9,2.13,59,0.42,57.1,0.42,0,-66,0.79,53.1,32.9,1950,4,1.02,1.59
bbq Olivers,S7,KR,45,0.289,0.79,1693,-172,8.2,10.4,4.4,8,37.8,40,1.42,40.6,0.31,35.9,0.33,-0.3,-390,0.44,27.4,32.4,1686,3.9,1.11,1.28
Ever8 Winners,S7,KR,41,0.268,0.75,1690,-195,8.9,11.8,4.3,8.1,43.9,34.1,1.12,30.5,0.46,51.4,0.17,-1,-1488,0.71,37.9,32.3,1592,3.9,1.22,1.34
Jin Air Green Wings,S7,KR,42,0.5,0.89,1797,15,9.7,10.8,6.7,6,59.5,57.1,1.64,43.5,0.62,70.3,0.36,0.5,741,1.07,56.7,32.8,1853,3.9,1.17,1.45
KT Rolster,S7,KR,47,0.66,1.6,1887,181,13.9,8.7,8,4.4,59.6,74.5,1.98,62.8,0.55,76.5,0.59,0.9,1683,0.87,63.9,32.7,1994,4,1.15,1.55
Longzhu Gaming,S7,KR,44,0.705,1.49,1888,200,13.8,9.3,7.9,4.1,61.4,63.6,2.02,61.3,0.52,60.5,0.68,0.5,1044,0.98,66.8,32.9,2055,3.8,0.89,1.44
MVP,S7,KR,42,0.31,0.74,1718,-144,9.2,12.5,4.8,8.2,33.3,50,2.14,54.2,0.26,31.4,0.74,-0.3,-638,0.83,39.1,31.8,1809,3.5,0.9,1.54
ROX Tigers,S7,KR,44,0.386,0.78,1735,-136,9.5,12.1,5.6,7.8,38.6,25,1,26.9,0.27,32.4,0.1,-0.6,-1456,0.82,41,31.9,1732,3.8,0.95,1.39
Samsung Galaxy,S7,KR,44,0.659,1.12,1852,107,9.9,8.8,7.6,5.2,56.8,47.7,2,60.7,0.32,41.2,0.61,0.1,326,0.75,55.3,34.2,1907,3.7,1.1,1.6
SK Telecom T1,S7,KR,41,0.634,1.01,1841,66,11,10.9,6.8,5.8,43.9,43.9,2.12,58,0.34,43.8,0.51,0.1,99,0.93,58.1,33.9,1867,3.4,0.83,1.48
Afreeca Freecs,S8,KR,41,0.683,1.35,1933,146,9.1,6.8,7.5,4.4,56.1,58.5,2.17,58.6,0.41,56.7,0.54,0,321,1.37,67.9,39.1,1775,5.5,1.52,2.42
bbq Olivers,S8,KR,44,0.386,0.97,1785,-104,8.5,8.8,5.4,7.4,52.3,38.6,1.52,35.5,0.55,60,0.27,-0.1,-238,1.11,49,36.5,1671,4.8,1.35,2.03
Jin Air Green Wings,S8,KR,44,0.432,1.04,1809,-43,9.8,9.4,6,6.9,50,50,1.93,44.6,0.43,50,0.52,0,-150,0.82,42.4,37.2,1871,4.7,1.08,1.93
Kingzone DragonX,S8,KR,40,0.825,1.9,2011,342,12.5,6.5,8.8,2.6,60,72.5,2.7,73.1,0.38,51.7,0.73,0.2,1060,1.28,83.1,38.8,2049,5.2,1.25,2.03
Kongdoo Monster,S8,KR,41,0.22,0.61,1679,-286,7.1,11.7,3.4,8.4,39,39,1.02,28.6,0.17,22.6,0.37,-0.1,-938,0.51,22.2,35.3,1593,4.5,1.34,1.8
KSV eSports,S8,KR,44,0.5,0.74,1797,-61,7.6,10.2,5.5,6.7,40.9,45.5,1.93,54.4,0.32,41.2,0.57,-0.1,-403,0.61,38.6,37.5,1788,4.5,1.47,2.29
KT Rolster,S8,KR,43,0.651,1.32,1888,115,9.8,7.4,7.4,4.7,62.8,55.8,2.21,60.3,0.37,55.2,0.7,0.5,902,0.77,61.4,37.8,1932,4.9,1.42,2.1
MVP,S8,KR,40,0.325,0.68,1768,-142,7.7,11.3,4.2,7.8,42.5,45,1.83,42.8,0.43,53.1,0.6,-0.3,-93,0.73,33.3,36.2,1915,4.5,1.16,2
ROX Tigers,S8,KR,45,0.489,0.91,1816,-7,9.2,10.1,6.4,5.9,57.8,66.7,1.8,48.5,0.53,66.7,0.51,0.2,185,0.82,50.8,36,1825,4.7,1.13,1.86
SK Telecom T1,S8,KR,46,0.5,1.12,1851,51,9.4,8.4,6.2,5.8,39.1,30.4,2.17,54.3,0.33,40.5,0.63,-0.3,-559,0.87,52.4,37.4,1883,4.8,1.25,2.07
Afreeca Freecs,S8,KR,46,0.565,1.25,1802,84,10.1,8,6.3,5.3,45.7,41.3,1.83,48,0.43,50,0.5,0,384,0.76,51.2,35.4,1642,4.1,1.51,1.76
bbq Olivers,S8,KR,43,0.209,0.68,1638,-225,6.9,10.2,3.7,8.2,32.6,32.6,1.21,31.3,0.44,46.3,0.37,-0.5,-912,0.4,26,33.8,1433,3.6,1.42,1.31
Gen.G eSports,S8,KR,44,0.636,1.09,1804,102,8.6,7.9,6.7,4.6,38.6,61.4,2.36,67,0.5,53.7,0.73,0.2,660,0.64,56.1,35.5,1662,3.4,1.44,1.61
Griffin,S8,KR,41,0.683,1.72,1839,146,11.3,6.5,6.7,4.9,56.1,51.2,1.8,47.7,0.39,40,0.51,-0.1,-36,0.9,69.7,35.9,1716,3.4,1.27,1.68
